,ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
592,19208.0,Sweets,"Puddings, rice, dry mix, prepared with 2% milk",111.0,3.29,1.63,20.81,0.0,0.1,46.0,0.035,0.24,0.7,0.0,4.0,0.4429999999999999,0.141,0.075,105.0,0.018,0.37,13.0,0.057,87.0,1.9,0.38,0.0511111111111111,0.0205882352941176,0.1,0.0077777777777777,0.0,0.01,0.0276875,0.1084615384615384,0.0625,0.0875,2e-05,0.0309523809523809,0.1242857142857142,0.0345454545454545,0.0345454545454545
593,20628.0,Cereal Grains and Pasta,"Wheat flour, white (industrial), 10% protein, bleached, enriched",366.0,9.71,1.48,76.22,0.49,2.4,0.0,0.037,0.0,0.0,0.05,268.0,5.952999999999999,0.445,0.736,20.0,0.188,5.06,25.0,0.818,107.0,14.6,1.02,0.0,0.0217647058823529,0.0,0.0,0.0033333333333333,0.67,0.3720625,0.3423076923076923,0.6133333333333334,0.0166666666666666,0.0002088888888888,0.0595238095238095,0.1528571428571428,0.2654545454545454,0.0927272727272727
594,18974.0,Baked Products,"KASHI, TLC, Honey Sesame Crackers",398.0,8.7,10.4,72.2,16.1,5.8,12.0,0.09,0.0,1.0,0.0,0.0,1.5,0.08,0.21,126.0,0.0,2.4,24.0,0.0,332.0,0.0,0.8,0.0133333333333333,0.0529411764705882,0.0,0.0111111111111111,0.0,0.0,0.09375,0.0615384615384615,0.175,0.105,0.0,0.0571428571428571,0.4742857142857143,0.0,0.0727272727272727
595,18242.0,Baked Products,"Croutons, plain",407.0,11.9,6.6,73.5,0.0,5.1,0.0,0.026,0.0,0.0,0.0,209.0,5.439,0.272,0.623,76.0,0.163,4.08,31.0,0.5,115.0,37.5,0.89,0.0,0.0152941176470588,0.0,0.0,0.0,0.5225,0.3399375,0.2092307692307692,0.5191666666666667,0.0633333333333333,0.0001811111111111,0.0738095238095238,0.1642857142857142,0.6818181818181818,0.0809090909090909
596,28074.0,Baked Products,"KEEBLER, E.L. FUDGE, Butter Flavored Cookies",482.0,5.5,20.5,70.0,33.9,3.4,0.0,0.02,0.0,0.0,0.0,0.0,2.5,0.22,0.31,0.0,0.0,3.2,22.0,0.0,63.0,0.0,0.6,0.0,0.0117647058823529,0.0,0.0,0.0,0.0,0.15625,0.1692307692307692,0.2583333333333333,0.0,0.0,0.0523809523809523,0.09,0.0,0.0545454545454545
597,19091.0,Sweets,"Candies, YORK Peppermint Pattie",384.0,2.19,7.17,80.99,63.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091666666666666,0.0,0.0,0.0,0.0,0.0
598,28236.0,Baked Products,"SUNSHINE, CHEEZ-IT, BIG Crackers",507.0,11.4,26.3,57.4,0.5,2.4,100.0,0.03,0.0,0.0,0.0,0.0,4.4,0.33,0.54,147.0,0.0,3.9,15.0,0.0,63.0,0.0,0.7,0.1111111111111111,0.0176470588235294,0.0,0.0,0.0,0.0,0.275,0.2538461538461538,0.4500000000000001,0.1225,0.0,0.0357142857142857,0.09,0.0,0.0636363636363636
599,28060.0,Baked Products,"KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip Cookies",502.0,5.1,25.5,65.0,33.5,2.4,0.0,0.01,0.0,0.0,0.0,0.0,2.3,0.18,0.28,0.0,0.0,3.0,25.0,0.0,57.0,0.0,0.6,0.0,0.0058823529411764,0.0,0.0,0.0,0.0,0.14375,0.1384615384615384,0.2333333333333333,0.0,0.0,0.0595238095238095,0.0814285714285714,0.0,0.0545454545454545
600,1006.0,Dairy and Egg Products,"Cheese, brie",334.0,20.75,27.68,0.45,0.45,0.0,174.0,0.235,1.65,0.0,0.24,65.0,0.38,0.52,0.07,184.0,0.019,0.5,20.0,0.034,188.0,14.5,2.38,0.1933333333333333,0.138235294117647,0.6875,0.0,0.016,0.1625,0.02375,0.4,0.0583333333333333,0.1533333333333333,2.111111111111111e-05,0.0476190476190476,0.2685714285714285,0.2636363636363636,0.2163636363636363
601,19333.0,Sweets,"Pudding, lemon, dry mix, regular, prepared with sugar, egg yolk and water",109.0,0.65,1.12,24.2,13.51,0.0,15.0,0.012,0.06,0.0,0.1,4.0,0.003,0.023,0.006,8.0,0.013,0.13,1.0,0.005,16.0,2.4,0.1,0.0166666666666666,0.0070588235294117,0.025,0.0,0.0066666666666666,0.01,0.0001875,0.0176923076923076,0.005,0.0066666666666666,1.4444444444444446e-05,0.0023809523809523,0.0228571428571428,0.0436363636363636,0.009090909090909
